Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Attack,Not An Attack,SUNNYBANK,2019-02-01
Animal,Dog,Fencing Issues,CARINA,2019-02-01
Animal,Dog,Wandering,TOOWONG,2019-02-01
Animal,Cat Trapping,,HOLLAND PARK,2019-02-01
Animal,Dog,Wandering,MILTON,2019-02-01
Animal,Dog,Too Many Animals,WYNNUM,2019-02-01
Animal,Other Animal,Fox,KALINGA,2019-02-01
Animal,Attack,Attack On An Animal,BANYO,2019-02-01
Animal,Cat Trapping,,CALAMVALE,2019-02-01
Animal,Cat Trapping,,ALGESTER,2019-02-01
Animal,Cat Trapping,,NEWSTEAD,2019-02-01
Animal,Cat Trapping,,CLAYFIELD,2019-02-01
Animal,Attack,Not An Attack,ASCOT,2019-02-01
Animal,Cat,Wandering,HAWTHORNE,2019-02-01
Animal,Cat Trapping,,ASPLEY,2019-02-01
Animal,Dog,Wandering,WAKERLEY,2019-02-01
Animal,Cat Trapping,,GORDON PARK,2019-02-01
Animal,Dog,Odour,TOOWONG,2019-02-01
Animal,Dog,Wandering,CHAPEL HILL,2019-02-01
Animal,Cat Trapping,,COOPERS PLAINS,2019-02-01
Animal,Dog,Wandering,BULIMBA,2019-02-01
Animal,Attack,Attack On A Person,ENOGGERA,2019-02-01
Animal,Attack,Attack On An Animal,MURARRIE,2019-02-01
Animal,Dog,Wandering,BULIMBA,2019-02-01
Animal,Attack,Menacing,CARINA,2019-02-01
Animal,Dog,Fencing Issues,MITCHELTON,2019-02-01
Animal,Dog,Wandering,ST LUCIA,2019-02-01
Animal,Dog,Wandering,ROCKLEA,2019-02-01
Animal,Attack,Attack On A Person,WYNNUM,2019-02-01
Animal,Cat,Wandering,MOGGILL,2019-02-01
Animal,Dog,Wandering,STAFFORD HEIGHTS,2019-02-01
Animal,Attack,Not An Attack,SEVEN HILLS,2019-02-01
Animal,Attack,Attack On An Animal,HAMILTON,2019-02-01
Animal,Cat,Wandering,INALA,2019-02-01
Animal,Dog,Fencing Issues,MANLY WEST,2019-02-01
Animal,Attack,Not An Attack,ACACIA RIDGE,2019-02-01
Animal,Dog,Odour,MOOROOKA,2019-02-01
Animal,Dog,Fencing Issues,WYNNUM WEST,2019-02-01
Animal,Attack,Attack On An Animal,DURACK,2019-02-01
Animal,Attack,,RIVERHILLS,2019-02-01
Animal,Dog,Odour,FOREST LAKE,2019-02-01
Animal,Other Animal,Insufficient Space,CARINA,2019-02-01
Animal,Other Animal,Fox,SUMNER,2019-02-01
Animal,Cat,Wandering,BULIMBA,2019-02-01
Animal,Attack,Attack On An Animal,GORDON PARK,2019-02-01
Animal,Dog,Too Many Animals,UPPER MOUNT GRAVATT,2019-02-01
Animal,Dog,Wandering,EVERTON PARK,2019-02-01
Animal,Attack,,BRIDGEMAN DOWNS,2019-02-01
Animal,Dog,Unregistered,THE GAP,2019-02-01
Animal,Cat Trapping,,BALD HILLS,2019-02-01
Animal,Attack,Attack On A Person,MORNINGSIDE,2019-02-01
Animal,Dog,Fencing Issues,PINKENBA,2019-02-01
Animal,Attack,Not An Attack,SUNNYBANK HILLS,2019-02-01
Animal,Dog,Defecating In Public,GRANGE,2019-02-01
Animal,Cat Trapping,,INALA,2019-02-01
Animal,Attack,Attack On An Animal,BOONDALL,2019-02-01
Animal,Attack,Menacing,NUNDAH,2019-02-01
Animal,Attack,,EIGHT MILE PLAINS,2019-02-01
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD,2019-02-01
Animal,Other Animal,Fencing Issues,BANYO,2019-02-01
Animal,Cat Trapping,,NEW FARM,2019-02-01
Animal,Dog,Unregistered,CHAPEL HILL,2019-02-01
Animal,Cat Trapping,,DOOLANDELLA,2019-02-01
Animal,Dog,Wandering,SEVEN HILLS,2019-02-01
Animal,Dog,Wandering,INALA,2019-02-01
Animal,Dog,Fencing Issues,MOOROOKA,2019-02-01
Animal,Attack,Menacing,COORPAROO,2019-02-01
Animal,Dog,Wandering,MCDOWALL,2019-02-01
Animal,Cat,Wandering,CHERMSIDE,2019-02-01
Animal,Dog,Wandering,MANSFIELD,2019-02-01
Animal,Dog,Surrender,INALA,2019-02-01
Animal,Dog,Wandering,GORDON PARK,2019-02-01
Animal,Cat,Wandering,CARSELDINE,2019-02-01
Animal,Attack,,BULIMBA,2019-02-01
Animal,Dog,Unregistered,CARINA,2019-02-01
Animal,Dog,Wandering,ZILLMERE,2019-02-01
Animal,Dog,Fencing Issues,YERONGA,2019-02-01
Animal,Attack,Menacing,INALA,2019-02-01
Animal,Dog,Defecating In Public,CAMP HILL,2019-02-01
Animal,Dog,Fencing Issues,HAWTHORNE,2019-02-01
Animal,Dog,Wandering,TINGALPA,2019-02-01
Animal,Dog,Odour,BANYO,2019-02-01
Animal,Dog,Too Many Animals,PINKENBA,2019-02-01
Animal,Cat Trapping,,ACACIA RIDGE,2019-02-01
Animal,Dog,Wandering,CAMP HILL,2019-02-01
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Attack,Attack On A Person,CANNON HILL,2019-02-01
Animal,Cat,Wandering,PADDINGTON,2019-02-01
Animal,Cat Trapping,,FIG TREE POCKET,2019-02-01
Animal,Dog,Too Many Animals,INDOOROOPILLY,2019-02-01
Animal,Other Animal,Too Many Animals,WINDSOR,2019-02-01
Animal,Dog,Odour,RUNCORN,2019-02-01
Animal,Cat Trapping,,BOONDALL,2019-02-01
Animal,Other Animal,Nuisance Animal,MCDOWALL,2019-02-01
Animal,Dog,Wandering,BRISBANE CITY,2019-02-01
Animal,Cat Trapping,,ANNERLEY,2019-02-01
Animal,Dog,Fencing Issues,MIDDLE PARK,2019-02-01
Animal,Other Animal,Nuisance Animal,TENERIFFE,2019-02-01
Animal,Dog,Wandering,WOOLOOWIN,2019-02-01
Animal,Dog,Fencing Issues,WYNNUM WEST,2019-02-01
Animal,Other Animal,Fox,LOTA,2019-02-01
Animal,Attack,Attack On A Person,SHERWOOD,2019-02-01
Animal,Dog,Fencing Issues,ACACIA RIDGE,2019-02-01
Animal,Cat Trapping,,ALGESTER,2019-02-01
Animal,Cat,Wandering,SANDGATE,2019-02-01
Animal,Dog,,MANSFIELD,2019-02-01
Animal,Cat Trapping,,ELLEN GROVE,2019-02-01
Animal,Other Animal,Nuisance Animal,ELLEN GROVE,2019-02-01
Animal,Dog,Fencing Issues,FITZGIBBON,2019-02-01
Animal,Dog,Wandering,FITZGIBBON,2019-02-01
Animal,Other Animal,Nuisance Animal,CALAMVALE,2019-02-01
Animal,Dog,Wandering,FITZGIBBON,2019-02-01
Animal,Dog,Wandering,SINNAMON PARK,2019-02-01
Animal,Other Animal,Deer,PULLENVALE,2019-02-01
Animal,Other Animal,Wild Dog,HOLLAND PARK WEST,2019-02-01
Animal,Attack,Menacing,FAIRFIELD,2019-02-01
Animal,Attack,Menacing,ROBERTSON,2019-02-01
Animal,Dog,Wandering,CHAPEL HILL,2019-02-01
Animal,Dog,Wandering,SUNNYBANK,2019-02-01
Animal,Other Animal,Unregistered,HEATHWOOD,2019-02-01
Animal,Attack,,MILTON,2019-02-01
Animal,Attack,Attack On A Person,SANDGATE,2019-02-01
Animal,Dog,Fencing Issues,VIRGINIA,2019-02-01
Animal,Dog,Wandering,KEDRON,2019-02-01
Animal,Dog,Wandering,ASPLEY,2019-02-01
Animal,Other Animal,Deer,PULLENVALE,2019-02-01
Animal,Other Animal,Deer,PULLENVALE,2019-02-01
Animal,Dog,Fencing Issues,ENOGGERA,2019-02-01
Animal,Cat,Wandering,BULIMBA,2019-02-01
Animal,Dog,Fencing Issues,NEW FARM,2019-02-01
Animal,Dog,Wandering,NEWSTEAD,2019-02-01
Animal,Other Animal,Fencing Issues,HOLLAND PARK,2019-02-01
Animal,Cat Trapping,,NUNDAH,2019-02-01
Animal,Attack,Attack On An Animal,TARRAGINDI,2019-02-01
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Other Animal,Fox,HOLLAND PARK WEST,2019-02-01
Animal,Cat Trapping,,TARRAGINDI,2019-02-01
Animal,Attack,,WAVELL HEIGHTS,2019-02-01
Animal,Dog,Fencing Issues,HENDRA,2019-02-01
Animal,Dog,Fencing Issues,FOREST LAKE,2019-02-01
Animal,Other Animal,Nuisance Animal,NORTHGATE,2019-02-01
Animal,Dog,Defecating In Public,SEVEN HILLS,2019-02-01
Animal,Attack,Menacing,BELLBOWRIE,2019-02-01
Animal,Dog,Fencing Issues,ELLEN GROVE,2019-02-01
Animal,Attack,Attack On A Person,MOOROOKA,2019-02-01
Animal,Attack,Not An Attack,INALA,2019-02-01
Animal,Other Animal,Pest / Feral Animal,BRIDGEMAN DOWNS,2019-02-01
Animal,Attack,,COOPERS PLAINS,2019-02-01
Animal,Dog,Odour,MANLY WEST,2019-02-01
Animal,Dog,Fencing Issues,INALA,2019-02-01
Animal,Attack,Attack On A Person,EVERTON PARK,2019-02-01
Animal,Dog,Fencing Issues,CARINA,2019-02-01
Animal,Dog,Unregistered,KEPERRA,2019-02-01
Animal,Attack,Menacing,COORPAROO,2019-02-01
Animal,Attack,Attack On An Animal,MANLY WEST,2019-02-01
Animal,Attack,Attack On An Animal,HENDRA,2019-02-01
Animal,Attack,Not An Attack,WACOL,2019-02-01
Animal,Attack,,CALAMVALE,2019-02-01
Animal,Dog,Wandering,BARDON,2019-02-01
Animal,Dog,Wandering,SANDGATE,2019-02-01
Animal,Dog,Wandering,NEWSTEAD,2019-02-01
Animal,Cat,Wandering,BRACKEN RIDGE,2019-02-01
Animal,Attack,,RIVERHILLS,2019-02-01
Animal,Dog,Unregistered,ELLEN GROVE,2019-02-01
Animal,Dog,Wandering,KEDRON,2019-02-01
Animal,Attack,Menacing,MOUNT GRAVATT EAST,2019-02-01
Animal,Attack,Menacing,STONES CORNER,2019-02-01
Animal,Attack,,MURARRIE,2019-02-01
Animal,Attack,Not An Attack,CLAYFIELD,2019-02-01
Animal,Dog,Wandering,MCDOWALL,2019-02-01
Animal,Dog,Fencing Issues,ZILLMERE,2019-02-01
Animal,Dog,Fencing Issues,BELLBOWRIE,2019-02-01
Animal,Cat,,CLAYFIELD,2019-02-01
Animal,Attack,Attack On A Person,SALISBURY,2019-02-01
Animal,Dog,Odour,WYNNUM WEST,2019-02-01
Animal,Dog,Odour,WYNNUM WEST,2019-02-01
Animal,Dog,Wandering,SANDGATE,2019-02-01
Animal,Dog,Fencing Issues,BOONDALL,2019-02-01
Animal,Attack,Not An Attack,CARINA,2019-02-01
Animal,Other Animal,Too Many Animals,KEPERRA,2019-02-01
Animal,Dog,Fencing Issues,KEPERRA,2019-02-01
Animal,Other Animal,Fencing Issues,CAMP HILL,2019-02-01
Animal,Cat Trapping,,NUDGEE,2019-02-01
Animal,Dog,Wandering,HEMMANT,2019-02-01
Animal,Dog,Unregistered,UPPER MOUNT GRAVATT,2019-02-01
Animal,Cat,Wandering,HOLLAND PARK,2019-02-01
Animal,Dog,Wandering,RED HILL,2019-02-01
Animal,Dog,Wandering,KEDRON,2019-02-01
Animal,Cat Trapping,,HOLLAND PARK WEST,2019-02-01
Animal,Attack,,SALISBURY,2019-02-01
Animal,Dog,Unregistered,ALGESTER,2019-02-01
Animal,Attack,Not An Attack,FITZGIBBON,2019-02-01
Animal,Attack,,FOREST LAKE,2019-02-01
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Dog,Wandering,INALA,2019-02-01
Animal,Dog,Wandering,WAKERLEY,2019-02-01
Animal,Attack,Attack On A Person,WINDSOR,2019-02-01
Animal,Dog,Wandering,FITZGIBBON,2019-02-01
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD,2019-02-01
Animal,Dog,Odour,SUNNYBANK HILLS,2019-02-01
Animal,Dog,Wandering,SALISBURY,2019-02-01
Animal,Attack,Dangerous,UPPER MOUNT GRAVATT,2019-02-01
Animal,Dog,Wandering,ENOGGERA,2019-02-01
Animal,Dog,Wandering,WEST END,2019-02-01
Animal,Attack,Attack On An Animal,KEDRON,2019-02-01
Animal,Dog,Wandering,MILTON,2019-02-01
Animal,Cat,Wandering,EAST BRISBANE,2019-02-01
Animal,Cat,Wandering,GEEBUNG,2019-02-01
Animal,Dog,Wandering,,2019-02-01
Animal,Other Animal,Deer,BROOKFIELD,2019-02-01
Animal,Dog,Fencing Issues,ANNERLEY,2019-02-01
Animal,Attack,,BRACKEN RIDGE,2019-02-01
Animal,Dog,Unregistered,,2019-02-01
Animal,Attack,Not An Attack,FOREST LAKE,2019-02-01
Animal,Attack,Attack On An Animal,CHERMSIDE WEST,2019-02-01
Animal,Attack,Attack On An Animal,WACOL,2019-02-01
Animal,Attack,Menacing,ROCKLEA,2019-02-01
Animal,Dog,Odour,MORNINGSIDE,2019-02-01
Animal,Dog,Too Many Animals,NEW FARM,2019-02-01
Animal,Other Animal,Fox,RIVERHILLS,2019-02-01
Animal,Dog,Defecating In Public,WAVELL HEIGHTS,2019-02-01
Animal,Dog,Wandering,KANGAROO POINT,2019-02-01
Animal,Attack,,NORMAN PARK,2019-02-01
Animal,Attack,,UPPER KEDRON,2019-02-01
Animal,Attack,Attack On A Person,TARRAGINDI,2019-02-01
Animal,Attack,,SUNNYBANK HILLS,2019-02-01
Animal,Attack,Menacing,WAKERLEY,2019-02-01
Animal,Cat Trapping,,CARSELDINE,2019-02-01
Animal,Attack,Attack On An Animal,GRANGE,2019-02-01
Animal,Attack,Attack On A Person,EAST BRISBANE,2019-02-01
Animal,Other Animal,Odour,EVERTON PARK,2019-02-01
Animal,Other Animal,Fox,HOLLAND PARK,2019-02-01
Animal,Attack,Not An Attack,COORPAROO,2019-02-01
Animal,Attack,Attack On A Person,MORNINGSIDE,2019-02-01
Animal,Attack,Menacing,HEMMANT,2019-02-01
Animal,Cat Trapping,,FIG TREE POCKET,2019-02-01
Animal,Dog,Fencing Issues,KEPERRA,2019-02-01
Animal,Dog,Fencing Issues,ROBERTSON,2019-02-01
Animal,Other Animal,Too Many Animals,DEAGON,2019-02-01
Animal,Attack,,EIGHT MILE PLAINS,2019-02-01
Animal,Other Animal,Nuisance Animal,TARRAGINDI,2019-02-01
Animal,Other Animal,Nuisance Animal,TARRAGINDI,2019-02-01
Animal,Dog,Fencing Issues,NORMAN PARK,2019-02-01
Animal,Dog,Wandering,SUNNYBANK,2019-02-01
Animal,Dog,Fencing Issues,ELLEN GROVE,2019-02-01
Animal,Dog,Wandering,SINNAMON PARK,2019-02-01
Animal,Attack,Menacing,WYNNUM,2019-02-01
Animal,Attack,,FERNY GROVE,2019-02-01
Animal,Dog,Wandering,WEST END,2019-02-01
Animal,Cat,Wandering,BRACKEN RIDGE,2019-02-01
Animal,Attack,Attack On An Animal,NUNDAH,2019-02-01
Animal,Cat,Wandering,UPPER MOUNT GRAVATT,2019-02-01
Animal,Dog,Fencing Issues,CORINDA,2019-02-01
Animal,Dog,Wandering,CORINDA,2019-02-01
Animal,Dog,Fencing Issues,TINGALPA,2019-02-01
Animal,Other Animal,Fox,KARAWATHA,2019-02-01
Animal,Dog,Wandering,HAWTHORNE,2019-02-01
Animal,Attack,,INALA,2019-02-01
Animal,Other Animal,Fox,CHERMSIDE WEST,2019-02-01
Animal,Cat Trapping,,BOONDALL,2019-02-01
Animal,Dog,Fencing Issues,KEPERRA,2019-02-01
Animal,Other Animal,Fox,SALISBURY,2019-02-01
Animal,Dog,Wandering,ST LUCIA,2019-02-01
Animal,Other Animal,Deer,MOGGILL,2019-02-01
Animal,Dog,Defecating In Public,CLAYFIELD,2019-02-01
Animal,Dog,Wandering,MITCHELTON,2019-02-01
Animal,Dog,Fencing Issues,MOGGILL,2019-02-01
Animal,Dog,Wandering,CAMP HILL,2019-02-01
Animal,Other Animal,Fox,RIVERHILLS,2019-02-01
Animal,Attack,Not An Attack,UPPER MOUNT GRAVATT,2019-02-01
Animal,Other Animal,Fox,ASPLEY,2019-02-01
Animal,Dog,Wandering,MOOROOKA,2019-02-01
Animal,Dog,Wandering,SALISBURY,2019-02-01
Animal,Cat Trapping,,BRIDGEMAN DOWNS,2019-02-01
Animal,Dog,Wandering,NUDGEE,2019-02-01
Animal,Dog,Wandering,NUDGEE,2019-02-01
Animal,Dog,Unregistered,DURACK,2019-02-01
Animal,Cat,Wandering,TENERIFFE,2019-02-01
Animal,Dog,Wandering,ASHGROVE,2019-02-01
Animal,Attack,,CARINA,2019-02-01
Animal,Dog,Unregistered,ROBERTSON,2019-02-01
Animal,Dog,Wandering,CARINA,2019-02-01
Animal,Cat,Wandering,ALGESTER,2019-02-01
Animal,Dog,Unregistered,,2019-02-01
Animal,Other Animal,Fencing Issues,FERNY GROVE,2019-02-01
Animal,Dog,Wandering,NORTHGATE,2019-02-01
Animal,Cat,Wandering,STAFFORD HEIGHTS,2019-02-01
Animal,Dog,Unregistered,THE GAP,2019-02-01
Animal,Cat Trapping,,WAVELL HEIGHTS,2019-02-01
Animal,Cat,Wandering,WYNNUM WEST,2019-02-01
Animal,Dog,Wandering,HAMILTON,2019-02-01
Animal,Dog,Unregistered,KEPERRA,2019-02-01
Animal,Cat Trapping,,INALA,2019-02-01
Animal,Dog,Odour,TOOWONG,2019-02-01
Animal,Dog,Odour,TOOWONG,2019-02-01
Animal,Attack,,PALLARA,2019-02-01
Animal,Dog,Unregistered,SHERWOOD,2019-02-01
Animal,Cat,,FOREST LAKE,2019-02-01
Animal,Attack,,WISHART,2019-02-01
Animal,Dog,,RUNCORN,2019-02-01
Animal,Attack,,WAVELL HEIGHTS,2019-02-01
Animal,Attack,,ALDERLEY,2019-02-01
Animal,Dog,,FORTITUDE VALLEY,2019-02-01
Animal,Attack,,ASPLEY,2019-02-01
Animal,Other Animal,Nuisance Animal,JINDALEE,2019-02-01
Animal,Other Animal,Odour,PULLENVALE,2019-02-01
Animal,Attack,,FERNY GROVE,2019-02-01
Animal,Other Animal,Odour,STAFFORD HEIGHTS,2019-02-01
Animal,Dog,Fencing Issues,BOONDALL,2019-02-01
Animal,Dog,,MOUNT GRAVATT EAST,2019-02-01
Animal,Dog,Unregistered,ACACIA RIDGE,2019-02-01
Animal,Attack,,DURACK,2019-02-01
Animal,Dog,,BRISBANE CITY,2019-02-01
Animal,Dog,,ELLEN GROVE,2019-02-01
Animal,Dog,Wandering,ASHGROVE,2019-02-01
Animal,Attack,Not An Attack,EVERTON PARK,2019-02-01
Animal,Attack,Attack On A Person,SUNNYBANK,2019-02-01
Animal,Cat Trapping,,ST LUCIA,2019-02-01
Animal,Other Animal,Fox,RIVERHILLS,2019-02-01
Animal,Attack,,ALGESTER,2019-02-01
Animal,Cat Trapping,,ALGESTER,2019-02-01
Animal,Dog,,WYNNUM WEST,2019-02-01
Animal,Dog,,CHERMSIDE WEST,2019-02-01
Animal,Cat,,ELLEN GROVE,2019-02-01
Animal,Attack,Not An Attack,BRACKEN RIDGE,2019-02-01
Animal,Dog,,TARRAGINDI,2019-02-01
Animal,Cat,,HOLLAND PARK WEST,2019-02-01
Animal,Attack,Attack On A Person,FAIRFIELD,2019-02-01
Animal,Dog,Wandering,SANDGATE,2019-02-01
Animal,Attack,Attack On An Animal,NORTHGATE,2019-02-01
Animal,Dog,Wandering,MORNINGSIDE,2019-02-01
Animal,Dog,Wandering,MORNINGSIDE,2019-02-01
Animal,Other Animal,,FOREST LAKE,2019-02-01
Animal,Dog,Wandering,GREENSLOPES,2019-02-01
Animal,Attack,,RICHLANDS,2019-02-01
Animal,Attack,,THE GAP,2019-02-01
Animal,Dog,,CARINDALE,2019-02-01
Animal,Attack,,BALD HILLS,2019-02-01
Animal,Cat Trapping,,WYNNUM,2019-02-01
Animal,Cat Trapping,,TAIGUM,2019-02-01
Animal,Attack,,GORDON PARK,2019-02-01
Animal,Dog,,NUNDAH,2019-02-01
Animal,Other Animal,,INALA,2019-02-01
Animal,Cat,,HOLLAND PARK WEST,2019-02-01
Animal,Other Animal,,WACOL,2019-02-01
Animal,Dog,,BANYO,2019-02-01
Animal,Cat Trapping,,INALA,2019-02-01
Animal,Attack,,SHERWOOD,2019-02-01
Animal,Dog,Fencing Issues,INALA,2019-02-01
Animal,Dog,Defecating In Public,RIVERHILLS,2019-02-01
Animal,Attack,,ACACIA RIDGE,2019-02-01
Animal,Other Animal,Fox,MOGGILL,2019-02-01
Animal,Attack,,BALMORAL,2019-02-01
Animal,Attack,,NUNDAH,2019-02-01
Animal,Attack,,INALA,2019-02-01
Animal,Dog,Fencing Issues,SALISBURY,2019-02-01
Animal,Dog,Fencing Issues,SALISBURY,2019-02-01
Animal,Dog,Fencing Issues,GREENSLOPES,2019-02-01
Animal,Other Animal,Pest / Feral Animal,INALA,2019-02-01
Animal,Cat,Wandering,RUNCORN,2019-02-01
Animal,Attack,,PINKENBA,2019-02-01
Animal,Dog,Too Many Animals,PINKENBA,2019-02-01
Animal,Dog,Unregistered,MORNINGSIDE,2019-02-01
Animal,Dog,,KEPERRA,2019-02-01
Animal,Dog,,KEPERRA,2019-02-01
Animal,Dog,,YERONGA,2019-02-01
Animal,Dog,Wandering,WAVELL HEIGHTS,2019-02-01
Animal,Attack,,HAWTHORNE,2019-02-01
Animal,Attack,,LUTWYCHE,2019-02-01
Animal,Other Animal,Fencing Issues,KELVIN GROVE,2019-02-01
Animal,Dog,,KARANA DOWNS,2019-02-01
Animal,Other Animal,,UPPER BROOKFIELD,2019-02-01
Animal,Dog,,ST LUCIA,2019-02-01
Animal,Attack,Attack On A Person,SANDGATE,2019-02-01
Animal,Other Animal,,GREENSLOPES,2019-02-01
Animal,Attack,,CARINA,2019-02-01
Animal,Cat,,BURBANK,2019-02-01
Animal,Dog,Wandering,YERONGA,2019-02-01
Animal,Dog,Wandering,YERONGA,2019-02-01
Animal,Dog,,LOTA,2019-02-01
Animal,Cat Trapping,,CHERMSIDE,2019-02-01
Animal,Cat Trapping,,NUDGEE,2019-02-01
Animal,Attack,,BRISBANE CITY,2019-02-01
Animal,Attack,,EVERTON PARK,2019-02-01
Animal,Dog,Fencing Issues,INALA,2019-02-01
Animal,Dog,,KARANA DOWNS,2019-02-01
Animal,Attack,Menacing,SUNNYBANK,2019-02-01
Animal,Dog,Defecating In Public,RIVERHILLS,2019-02-01
Animal,Attack,,ASHGROVE,2019-02-01
Animal,Attack,,INALA,2019-02-01
Animal,Other Animal,,ROCKLEA,2019-02-01
Animal,Attack,,DARRA,2019-02-01
Animal,Dog,,LOTA,2019-02-01
Animal,Attack,Attack On An Animal,DEAGON,2019-02-01
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD,2019-02-01
Animal,Dog,,GRANGE,2019-02-01
Animal,Dog,,GORDON PARK,2019-02-01
Animal,Other Animal,,MANLY WEST,2019-02-01
Animal,Attack,,CALAMVALE,2019-02-01
Animal,Attack,Dangerous,BANYO,2019-02-01
Animal,Other Animal,,MOUNT COOT-THA,2019-02-01
Animal,Attack,,ZILLMERE,2019-02-01
Animal,Attack,,BALD HILLS,2019-02-01
Animal,Cat,,WAVELL HEIGHTS,2019-02-01
Animal,Attack,,CAMP HILL,2019-02-01
Animal,Attack,,BRIDGEMAN DOWNS,2019-02-01
Animal,Dog,Wandering,HEMMANT,2019-02-01
Animal,Cat Trapping,,BRACKEN RIDGE,2019-02-01
Animal,Cat,,SANDGATE,2019-02-01
Animal,Attack,,TINGALPA,2019-02-01
Animal,Cat Trapping,,COOPERS PLAINS,2019-02-01
Animal,Other Animal,,GEEBUNG,2019-02-01
Animal,Cat Trapping,,CHERMSIDE WEST,2019-02-01
Animal,Dog,,ALGESTER,2019-02-01
Animal,Attack,,HAMILTON,2019-02-01
Animal,Cat Trapping,,ROBERTSON,2019-02-01
Animal,Cat Trapping,,NEWSTEAD,2019-02-01
Animal,Attack,,ACACIA RIDGE,2019-02-01
Animal,Dog,,THE GAP,2019-02-01
Animal,Attack,Menacing,WYNNUM,2019-02-01
Animal,Cat,,ELLEN GROVE,2019-02-01
Animal,Attack,,MACGREGOR,2019-02-01
Animal,Other Animal,,HIGHGATE HILL,2019-02-01
Animal,Attack,Menacing,MANLY WEST,2019-02-01
Animal,Dog,Fencing Issues,DEAGON,2019-02-01
Animal,Dog,Wandering,BRIGHTON,2019-02-01
Animal,Dog,Unregistered,ARCHERFIELD,2019-02-01
Animal,Dog,Wandering,ST LUCIA,2019-02-01
Animal,Other Animal,Fox,RUNCORN,2019-02-01
Animal,Dog,Wandering,INALA,2019-02-01
Animal,Dog,,JINDALEE,2019-02-01
Animal,Attack,Attack On A Person,CARINA HEIGHTS,2019-02-01
Animal,Attack,Attack On An Animal,FOREST LAKE,2019-02-01
Animal,Attack,,MOUNT GRAVATT EAST,2019-02-01
Animal,Attack,,MIDDLE PARK,2019-02-01
Animal,Attack,,BRACKEN RIDGE,2019-02-01
Animal,Dog,Wandering,BARDON,2019-02-01
Animal,Other Animal,Fox,GEEBUNG,2019-02-01
Animal,Dog,Unregistered,,2019-02-01
Animal,Cat,Wandering,CARINA HEIGHTS,2019-02-01
Animal,Dog,Wandering,WYNNUM,2019-02-01
Animal,Other Animal,Fox,TARRAGINDI,2019-02-01
Animal,Dog,Fencing Issues,ROCHEDALE,2019-02-01
Animal,Cat Trapping,,CARINA HEIGHTS,2019-02-01
Animal,Dog,Wandering,FIG TREE POCKET,2019-02-01
Animal,Cat,Wandering,WYNNUM,2019-02-01
Animal,Attack,Not An Attack,KEPERRA,2019-02-01
Animal,Attack,Attack On An Animal,INALA,2019-02-01
Animal,Attack,Attack On An Animal,BRACKEN RIDGE,2019-02-01
Animal,Cat,Wandering,HAWTHORNE,2019-02-01
Animal,Attack,,CLAYFIELD,2019-02-01
Animal,Attack,Attack On An Animal,GRACEVILLE,2019-02-01
Animal,Dog,Wandering,CHAPEL HILL,2019-02-01
Animal,Dog,Wandering,UPPER MOUNT GRAVATT,2019-02-01
Animal,Attack,Attack On An Animal,NUDGEE,2019-02-01
Animal,Other Animal,Fox,PULLENVALE,2019-02-01
Animal,Cat,Wandering,MOGGILL,2019-02-01
Animal,Cat,Wandering,HOLLAND PARK,2019-02-01
Animal,Attack,Attack On A Person,HEMMANT,2019-02-01
Animal,Dog,Fencing Issues,MOUNT CROSBY,2019-02-01
Animal,Other Animal,Nuisance Animal,CALAMVALE,2019-02-01
Animal,Dog,Wandering,MOUNT GRAVATT EAST,2019-02-01
Animal,Dog,Wandering,CARINA,2019-02-01
Animal,Cat Trapping,,SHERWOOD,2019-02-01
Animal,Cat Trapping,,BANYO,2019-02-01
Animal,Dog,Wandering,BOONDALL,2019-02-01
Animal,Dog,Unregistered,KEPERRA,2019-02-01
Animal,Dog,Wandering,LOTA,2019-02-01
Animal,Dog,Fencing Issues,ACACIA RIDGE,2019-02-01
Animal,Attack,Menacing,BOONDALL,2019-02-01
Animal,Other Animal,Unregistered,BURBANK,2019-02-01
Animal,Attack,Menacing,KARANA DOWNS,2019-02-01
Animal,Dog,Too Many Animals,SUNNYBANK HILLS,2019-02-01
Animal,Attack,Attack On A Person,INALA,2019-02-01
Animal,Attack,Attack On An Animal,STAFFORD,2019-02-01
Animal,Dog,,MORNINGSIDE,2019-02-01
Animal,Attack,Attack On An Animal,FERNY GROVE,2019-02-01
Animal,Attack,Attack On A Person,CLAYFIELD,2019-02-01
Animal,Dog,Wandering,BRIDGEMAN DOWNS,2019-02-01
Animal,Other Animal,Deer,UPPER BROOKFIELD,2019-02-01
Animal,Attack,,ALGESTER,2019-02-01
Animal,Cat,Wandering,INALA,2019-02-01
Animal,Dog,Wandering,EIGHT MILE PLAINS,2019-02-01
Animal,Dog,Too Many Animals,SEVENTEEN MILE ROCKS,2019-02-01
