Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Date
Animal,Attack,Attack On A Person,ALGESTER,2018-05-01
Animal,Dog,Odour,SUNNYBANK HILLS,2018-05-01
Animal,Other Animal,Nuisance Animal,CHERMSIDE,2018-05-01
Animal,Dog,Odour,BRACKEN RIDGE,2018-05-01
Animal,Attack,Attack On An Animal,ASPLEY,2018-05-01
Animal,Dog,Too Many Animals,MANLY WEST,2018-05-01
Animal,Cat,,WEST END,2018-05-01
Animal,Dog,Unregistered,ACACIA RIDGE,2018-05-01
Animal,Dog,Fencing Issues,GEEBUNG,2018-05-01
Animal,Other Animal,,ANNERLEY,2018-05-01
Animal,Cat Trapping,,WYNNUM WEST,2018-05-01
Animal,Dog,Fencing Issues,FITZGIBBON,2018-05-01
Animal,Dog,Fencing Issues,ASCOT,2018-05-01
Animal,Other Animal,Fox,CHELMER,2018-05-01
Animal,Cat,,BRIGHTON,2018-05-01
Animal,Attack,Attack On A Person,ASPLEY,2018-05-01
Animal,Attack,Attack On An Animal,HOLLAND PARK,2018-05-01
Animal,Dog,Fencing Issues,CALAMVALE,2018-05-01
Animal,Cat Trapping,,CARINA,2018-05-01
Animal,Other Animal,Fox,BALD HILLS,2018-05-01
Animal,Other Animal,Nuisance Animal,INALA,2018-05-01
Animal,Dog,Fencing Issues,SUNNYBANK HILLS,2018-05-01
Animal,Other Animal,Fox,UPPER BROOKFIELD,2018-05-01
Animal,Cat Trapping,,WEST END,2018-05-01
Animal,Dog,Unregistered,CAMP HILL,2018-05-01
Animal,Other Animal,Fox,ST LUCIA,2018-05-01
Animal,Other Animal,Fox,KARANA DOWNS,2018-05-01
Animal,Cat,,MANSFIELD,2018-05-01
Animal,Attack,Attack On An Animal,GREENSLOPES,2018-05-01
Animal,Attack,Attack On An Animal,BALD HILLS,2018-05-01
Animal,Dog,,MOUNT GRAVATT,2018-05-01
Animal,Attack,Attack On A Person,KALINGA,2018-05-01
Animal,Other Animal,Fox,WYNNUM WEST,2018-05-01
Animal,Cat,,WYNNUM,2018-05-01
Animal,Attack,Menacing,BROOKFIELD,2018-05-01
Animal,Dog,Defecating In Public,FOREST LAKE,2018-05-01
Animal,Other Animal,Fox,RANSOME,2018-05-01
Animal,Attack,Attack On An Animal,FOREST LAKE,2018-05-01
Animal,Cat,,HOLLAND PARK,2018-05-01
Animal,Attack,Not An Attack,INALA,2018-05-01
Animal,Other Animal,Too Many Animals,INALA,2018-05-01
